ticker,start_date,end_date
GFS.A,1996-01-02,1998-07-16
HNZ,1996-01-02,2013-06-07
RLM,1996-01-02,2000-05-04
JOS,1996-01-02,2000-05-10
KR,1996-01-02,
NAV,1996-01-02,2006-12-20
BLY,1996-01-02,1996-12-19
USHC,1996-01-02,1996-07-19
CAL,1996-01-02,1996-07-22
EMR,1996-01-02,
BNI,1996-01-02,2010-02-16
UMG,1996-01-02,2000-06-15
LDW.B,1996-01-02,1999-12-08
TRW,1996-01-02,2002-12-12
BFI,1996-01-02,1999-08-02
FE,1996-01-02,
XRX,1996-01-02,2021-03-22
PHM,1996-01-02,
BHMSQ,1996-01-02,2000-12-11
KWP,1996-01-02,1999-11-16
AIT,1996-01-02,1999-10-11
AMP,1996-01-02,1999-04-05
ENRNQ,1996-01-02,2001-11-30
MMM,1996-01-02,
PLL,1996-01-02,2015-08-31
ANDW,1996-01-02,2006-10-02
AVP,1996-01-02,2015-03-23
CSE,1996-01-22,1999-11-15
BAY,1996-02-12,1998-08-31
FITB,1996-03-08,
GNT,1996-03-13,1998-07-01
EMC,1996-03-28,2016-09-07
NLV,1996-04-01,2000-01-06
WCOEQ,1996-04-01,2002-05-15
AON,1996-04-23,
TUP,1996-05-31,2004-03-25
MTG,1996-07-19,2008-10-31
BMGCA,1996-07-22,1999-08-09
HFS,1996-08-16,1997-12-18
SEG,1996-08-16,2000-11-22
DELL,1996-09-06,2013-10-29
LU,1996-10-01,2006-12-01
UPR,1996-10-16,2000-07-17
RX,1996-11-04,2010-02-26
MBI,1996-12-03,2009-12-21
GDT,1996-12-19,2006-04-24
FRO,1997-01-02,1999-09-29
TMO,1997-01-02,
AZO,1997-01-02,
EHC,1997-01-08,2003-03-21
CNC,1997-01-15,2002-07-25
PTC,1997-04-03,2007-01-03
ADBE,1997-05-06,
CAH,1997-05-27,
SCHW,1997-06-02,
CFC,1997-06-18,2008-07-01
EFX,1997-06-19,
WAMUQ,1997-07-02,2008-09-30
SAI,1997-07-17,1999-01-04
APC,1997-07-28,2019-08-09
APA,1997-07-28,
PGR,1997-08-04,
OI,1997-08-04,2000-12-11
HBAN,1997-08-06,
MIR,1997-08-07,2000-06-01
STT,1997-08-18,
CCU,1997-09-02,2008-07-31
KLAC,1997-09-15,
YUM,1997-10-07,
HBOC,1997-10-23,1999-01-13
